,frequency,statistical significance
14,45,under-represented
28,105,under-represented
30,6,under-represented
74,296,under-represented
76,4105,under-represented
78,145,under-represented
90,2,under-represented
92,182,under-represented
94,15,normal-represented
204,466,under-represented
206,47,under-represented
222,7,over-represented
280,2513,normal-represented
282,208,under-represented
286,1,under-represented
328,376,normal-represented
330,4,normal-represented
332,219,under-represented
334,5,under-represented
344,241,normal-represented
346,7,under-represented
348,278,normal-represented
350,16,normal-represented
390,28,over-represented
392,6370,over-represented
394,269,over-represented
396,458,over-represented
398,11,normal-represented
404,367,under-represented
406,7,under-represented
408,3716,over-represented
410,374,over-represented
412,195,under-represented
414,11,normal-represented
454,7,normal-represented
456,125,under-represented
458,3,normal-represented
460,140,under-represented
462,4,under-represented
468,61,under-represented
470,3,under-represented
472,62,under-represented
474,13,normal-represented
476,98,under-represented
478,13,normal-represented
856,6,normal-represented
858,15,normal-represented
862,14,normal-represented
904,106,normal-represented
906,193,over-represented
908,4,under-represented
910,7,normal-represented
922,223,over-represented
924,8,normal-represented
926,22,over-represented
972,7,normal-represented
974,4,normal-represented
990,6,normal-represented
2184,85650,under-represented
2186,25201,normal-represented
2190,415,under-represented
2202,999,over-represented
2204,967,under-represented
2206,50,normal-represented
2252,8408,normal-represented
2254,710,normal-represented
2270,29,over-represented
2458,1164,normal-represented
2462,21,under-represented
2506,6,normal-represented
2510,39,normal-represented
2524,670,over-represented
2526,60,over-represented
3038,40,over-represented
4370,17777,under-represented
4374,590,under-represented
4382,5,under-represented
4418,131,normal-represented
4420,1640,under-represented
4422,87,under-represented
4424,864,over-represented
4426,11,normal-represented
4428,63,under-represented
4430,3,under-represented
4434,1209,under-represented
4436,22338,over-represented
4438,1378,over-represented
4440,2625,over-represented
4442,55,under-represented
4444,514,under-represented
4446,17,under-represented
4546,2,normal-represented
4548,143,under-represented
4550,3,normal-represented
4556,9,under-represented
4558,1,under-represented
4562,19,under-represented
4564,659,under-represented
4566,36,under-represented
4572,142,under-represented
4574,15,normal-represented
4678,149,over-represented
4682,47,over-represented
4686,4,normal-represented
4692,297,over-represented
4694,180,under-represented
4698,2,under-represented
4700,18,normal-represented
4702,1,under-represented
4740,0,under-represented
4742,0,under-represented
4748,13,normal-represented
4750,5,normal-represented
4758,2,normal-represented
4764,4,normal-represented
4766,1,under-represented
4812,16,normal-represented
4814,7,normal-represented
4830,0,under-represented
4946,1260,under-represented
4950,1316,over-represented
4952,152,over-represented
4954,45,under-represented
4958,9,under-represented
4994,53,under-represented
4998,10,normal-represented
5002,123,normal-represented
5004,0,under-represented
5006,0,under-represented
5010,818,under-represented
5012,56,normal-represented
5014,63,over-represented
5016,881,normal-represented
5018,742,over-represented
5020,7,under-represented
5022,22,under-represented
5058,2,under-represented
5062,4,normal-represented
5064,9,normal-represented
5066,9,normal-represented
5068,2,under-represented
5070,1,under-represented
5074,39,under-represented
5076,11,under-represented
5078,79,normal-represented
5080,48,normal-represented
5082,30,under-represented
5084,2,under-represented
5086,29,under-represented
6342,1,normal-represented
6348,1204,normal-represented
6350,30,under-represented
6356,19,normal-represented
6358,9,over-represented
6364,625,normal-represented
6366,62,over-represented
6550,15,under-represented
6552,17421,over-represented
6554,3638,under-represented
6558,33,under-represented
6598,2,normal-represented
6602,11,under-represented
6604,458,under-represented
6606,11,under-represented
6614,42,normal-represented
6616,1650,over-represented
6618,113,under-represented
6620,2251,normal-represented
6622,146,over-represented
6854,0,normal-represented
6858,157,over-represented
6862,23,normal-represented
6870,6,over-represented
6874,7,under-represented
6876,29,normal-represented
6878,17,under-represented
7126,55,over-represented
7128,63,over-represented
7130,89,under-represented
7134,138,over-represented
13142,2293,over-represented
13146,186,over-represented
13148,26,under-represented
13150,93,under-represented
13260,0,normal-represented
13262,0,under-represented
13278,21,under-represented
14678,16,normal-represented
14686,4,normal-represented
14790,0,normal-represented
14798,17,normal-represented
14810,93,normal-represented
14812,104,under-represented
14814,119,normal-represented
15258,1885,over-represented
15262,277,over-represented
15310,8,under-represented
15326,223,over-represented
31710,120,over-represented
